　	16.0
朋	6.0
友	6.0
买	1.0
来	1.0
纸	2.0
笔	1.0
砚	1.0
台	1.0
，	22.0
请	2.0
我	13.0
题	1.0
几	1.0
个	2.0
字	6.0
让	1.0
他	1.0
挂	2.0
在	2.0
新	1.0
居	1.0
的	14.0
客	1.0
厅	1.0
补	1.0
壁	1.0
。	8.0
这	4.0
使	1.0
感	3.0
到	6.0
有	4.0
些	1.0
为	2.0
难	1.0
因	2.0
自	1.0
知	1.0
写	4.0
得	3.0
不	8.0
好	4.0
看	3.0
何	1.0
况	1.0
已	1.0
经	2.0
很	2.0
多	4.0
年	1.0
没	1.0
书	1.0
法	1.0
了	9.0

	14.0
说	6.0
：	4.0
“	7.0
怕	3.0
什	4.0
么	4.0
？	4.0
你	3.0
光	1.0
荣	1.0
都	1.0
”	7.0
便	1.0
面	1.0
前	1.0
展	1.0
、	4.0
磨	1.0
墨	1.0
四	1.0
常	5.0
想	4.0
一	5.0
二	5.0
是	5.0
意	8.0
思	3.0
幅	1.0
包	1.0
涵	1.0
件	1.0
处	1.0
就	4.0
原	1.0
谅	1.0
玩	1.0
笑	1.0
态	1.0
度	1.0
讲	1.0
正	1.0
底	1.0
俗	1.0
话	1.0
‘	1.0
人	2.0
生	3.0
如	6.0
事	4.0
十	1.0
之	1.0
八	3.0
九	3.0
’	1.0
们	2.0
命	1.0
里	1.0
情	2.0
占	1.0
绝	1.0
大	1.0
部	1.0
分	1.0
此	1.0
活	1.0
着	2.0
本	1.0
身	1.0
痛	1.0
苦	1.0
但	1.0
扣	1.0
除	1.0
成	3.0
至	1.0
少	1.0
还	1.0
快	2.0
乐	2.0
欣	1.0
慰	1.0
果	1.0
要	2.0
过	1.0
那	1.0
样	1.0
会	1.0
庆	1.0
幸	1.0
懂	1.0
珍	1.0
惜	1.0
致	1.0
被	1.0
所	1.0
打	1.0
倒	1.0
听	1.0
非	1.0
欢	1.0
喜	1.0
抱	1.0
回	1.0
家	1.0
